month,center,course,channel,lead_count,consult_count,enroll_count,revenue,refund_count,ad_cost,note
2026-02,대전센터,AI 학습관리,카카오채널,31,14,3,2350000,3,90000,
2026-02,대전센터,학부모 코칭,네이버광고,65,36,10,9970000,0,1000000,
2026-02,대전센터,중등 내신,지인추천,84,55,29,19770000,0,220000,
2026-02,대전센터,AI 학습관리,설명회,28,16,6,3600000,0,60000,
2026-02,부산센터,고등 입시,홈페이지,42,21,5,4650000,0,100000,
2026-02,부산센터,초등 자기주도,블로그,96,50,20,18760000,2,330000,
2026-02,부산센터,AI 학습관리,카카오채널,29,16,5,4270000,0,40000,
2026-02,부산센터,고등 입시,네이버광고,103,42,21,14760000,0,1980000,
2026-02,부산센터,초등 자기주도,지인추천,39,16,6,3430000,0,100000,
2026-02,부산센터,학부모 코칭,설명회,75,41,15,8040000,0,90000,
2026-03,강남센터,초등 자기주도,홈페이지,35,15,3,1770000,0,120000,
2026-03,강남센터,학부모 코칭,블로그,64,35,14,11930000,2,240000,
2026-03,강남센터,고등 입시,카카오채널,60,26,7,6960000,1,170000,
2026-03,강남센터,중등 내신,네이버광고,54,25,8,5340000,0,680000,설명회 유입 포함
2026-03,강남센터,AI 학습관리,지인추천,100,50,20,9920000,0,350000,
2026-03,강남센터,고등 입시,설명회,30,20,4,2610000,2,70000,
2026-03,분당센터,중등 내신,홈페이지,59,24,5,2440000,0,170000,
2026-03,분당센터,AI 학습관리,블로그,51,33,10,5760000,0,190000,
2026-03,분당센터,고등 입시,카카오채널,81,39,13,12520000,0,150000,
2026-03,분당센터,초등 자기주도,네이버광고,26,13,2,1060000,0,370000,
2026-03,분당센터,학부모 코칭,지인추천,75,42,17,9680000,0,110000,
2026-03,분당센터,중등 내신,설명회,79,33,8,4250000,0,130000,
2026-03,송파센터,AI 학습관리,홈페이지,96,51,11,7930000,2,130000,
2026-03,송파센터,학부모 코칭,블로그,52,25,5,4150000,2,140000,
2026-03,송파센터,고등 입시,카카오채널,53,31,8,4760000,0,100000,
2026-03,송파센터,초등 자기주도,네이버광고,45,19,7,6580000,0,450000,
2026-03,송파센터,학부모 코칭,지인추천,36,14,7,3610000,0,70000,
2026-03,송파센터,중등 내신,설명회,78,50,13,10080000,0,180000,
2026-03,목동센터,AI 학습관리,홈페이지,62,39,7,3870000,0,120000,
2026-03,목동센터,고등 입시,블로그,43,28,9,5520000,0,70000,
2026-03,목동센터,초등 자기주도,카카오채널,94,60,18,9990000,0,330000,
2026-03,목동센터,학부모 코칭,네이버광고,28,19,6,4560000,0,500000,
2026-03,목동센터,중등 내신,지인추천,55,37,15,10520000,0,110000,설명회 유입 포함
2026-03,목동센터,AI 학습관리,설명회,80,31,13,7270000,0,180000,
2026-03,대전센터,고등 입시,홈페이지,82,37,9,5150000,0,110000,설명회 유입 포함
2026-03,대전센터,초등 자기주도,블로그,55,29,12,7940000,0,130000,
2026-03,대전센터,학부모 코칭,카카오채널,94,57,25,21460000,0,310000,
2026-03,대전센터,중등 내신,네이버광고,24,15,6,3500000,0,420000,
2026-03,대전센터,AI 학습관리,지인추천,92,39,11,10420000,0,300000,
2026-03,대전센터,고등 입시,설명회,90,35,8,7410000,1,320000,
2026-03,부산센터,중등 내신,홈페이지,65,26,7,6940000,0,170000,
2026-03,부산센터,AI 학습관리,블로그,58,40,11,6900000,0,160000,
2026-03,부산센터,고등 입시,카카오채널,68,30,13,7410000,0,130000,
2026-03,부산센터,초등 자기주도,네이버광고,38,21,10,5020000,0,530000,
2026-03,부산센터,학부모 코칭,지인추천,58,23,7,6150000,0,180000,
2026-03,부산센터,중등 내신,설명회,26,15,5,4290000,0,40000,센터명 표기 확인 필요
2026-04,강남센터,학부모 코칭,홈페이지,55,22,9,6230000,0,210000,
2026-04,강남센터,중등 내신,블로그,29,15,6,5910000,0,110000,
2026-04,강남센터,AI 학습관리,카카오채널,77,45,18,10130000,0,120000,
2026-04,강남센터,고등 입시,네이버광고,34,22,9,7300000,0,340000,
2026-04,강남센터,초등 자기주도,지인추천,52,33,7,4670000,0,160000,
2026-04,강남센터,학부모 코칭,설명회,60,37,13,10510000,0,130000,센터명 표기 확인 필요
2026-04,분당센터,중등 내신,홈페이지,81,43,17,14930000,0,270000,
2026-04,분당센터,AI 학습관리,블로그,40,26,11,10310000,0,100000,
2026-04,분당센터,고등 입시,카카오채널,89,45,18,14590000,0,290000,
2026-04,분당센터,초등 자기주도,네이버광고,69,35,9,5310000,0,790000,설명회 유입 포함
2026-04,분당센터,학부모 코칭,지인추천,86,56,14,11480000,0,280000,
2026-04,분당센터,중등 내신,설명회,38,16,5,3350000,0,130000,
2026-04,송파센터,AI 학습관리,홈페이지,25,12,4,3510000,0,70000,
2026-04,송파센터,고등 입시,블로그,52,22,9,6690000,0,110000,
2026-04,송파센터,초등 자기주도,카카오채널,70,42,19,13280000,0,190000,
2026-04,송파센터,학부모 코칭,네이버광고,38,18,6,4270000,0,710000,
2026-04,송파센터,중등 내신,지인추천,53,37,7,4140000,0,140000,
2026-04,송파센터,AI 학습관리,설명회,51,34,6,4640000,0,90000,
2026-04,목동센터,고등 입시,홈페이지,36,17,7,3940000,0,120000,
2026-04,목동센터,초등 자기주도,블로그,70,28,15,12130000,0,120000,
2026-04,목동센터,학부모 코칭,카카오채널,91,55,15,12360000,1,330000,
2026-04,목동센터,고등 입시,네이버광고,95,47,10,8990000,0,900000,
2026-04,목동센터,초등 자기주도,지인추천,96,40,18,16350000,0,320000,
2026-04,목동센터,학부모 코칭,설명회,77,29,14,8450000,3,150000,
2026-04,대전센터,고등 입시,홈페이지,71,44,14,11310000,0,230000,
2026-04,대전센터,초등 자기주도,블로그,72,28,12,9520000,0,260000,
2026-04,대전센터,학부모 코칭,카카오채널,49,26,10,6270000,0,160000,
2026-04,대전센터,중등 내신,네이버광고,36,19,6,5560000,0,470000,
2026-04,대전센터,AI 학습관리,지인추천,42,28,10,7260000,0,160000,
2026-04,대전센터,고등 입시,설명회,62,28,13,7420000,0,90000,
2026-04,부산센터,초등 자기주도,홈페이지,74,31,6,3700000,0,230000,
2026-04,부산센터,학부모 코칭,블로그,67,38,15,9950000,0,100000,설명회 유입 포함
2026-04,부산센터,중등 내신,카카오채널,76,49,21,12020000,0,210000,
2026-04,부산센터,AI 학습관리,네이버광고,24,11,5,4780000,0,390000,
2026-04,부산센터,고등 입시,지인추천,36,19,10,9410000,0,140000,
2026-04,부산센터,초등 자기주도,설명회,47,23,9,8240000,0,150000,
2026-05,강남센터,고등 입시,홈페이지,38,18,5,2520000,0,130000,
2026-05,강남센터,초등 자기주도,블로그,63,37,9,5090000,0,80000,
2026-05,강남센터,학부모 코칭,카카오채널,46,32,10,5140000,0,150000,
2026-05,강남센터,중등 내신,네이버광고,78,53,26,23240000,0,1060000,
2026-05,강남센터,AI 학습관리,지인추천,64,45,15,10410000,0,240000,
2026-05,강남센터,고등 입시,설명회,49,31,8,4490000,0,130000,
2026-05,분당센터,초등 자기주도,홈페이지,65,37,8,6370000,0,90000,설명회 유입 포함
2026-05,분당센터,학부모 코칭,블로그,62,32,17,14120000,0,130000,
2026-05,분당센터,중등 내신,카카오채널,100,69,15,9530000,0,140000,
2026-05,분당센터,AI 학습관리,네이버광고,46,20,8,6260000,0,910000,
2026-05,분당센터,고등 입시,지인추천,100,41,13,10680000,0,230000,
2026-05,분당센터,초등 자기주도,설명회,39,22,7,3780000,0,150000,
2026-05,송파센터,학부모 코칭,홈페이지,63,36,12,10830000,2,230000,
2026-05,송파센터,고등 입시,블로그,62,25,5,2830000,0,100000,설명회 유입 포함
2026-05,송파센터,초등 자기주도,카카오채널,33,15,5,4010000,0,100000,
2026-05,송파센터,학부모 코칭,네이버광고,42,26,11,6880000,0,510000,
2026-05,송파센터,중등 내신,지인추천,26,15,3,1920000,0,40000,
2026-05,송파센터,AI 학습관리,설명회,79,46,20,12940000,0,210000,
2026-05,목동센터,고등 입시,홈페이지,73,42,18,13480000,0,200000,
2026-05,목동센터,초등 자기주도,블로그,103,55,25,19230000,0,160000,
2026-05,목동센터,학부모 코칭,카카오채널,68,31,12,9930000,0,250000,
2026-05,목동센터,중등 내신,네이버광고,45,19,3,1580000,0,840000,
2026-05,목동센터,AI 학습관리,지인추천,85,57,14,9450000,0,170000,
2026-05,목동센터,고등 입시,설명회,63,37,10,6260000,0,230000,
2026-05,대전센터,초등 자기주도,홈페이지,99,64,32,31240000,2,270000,
2026-05,대전센터,AI 학습관리,블로그,60,34,17,16310000,1,220000,
2026-05,대전센터,학부모 코칭,카카오채널,95,64,29,19530000,0,130000,
2026-05,대전센터,중등 내신,네이버광고,85,36,13,9070000,0,1160000,
2026-05,대전센터,AI 학습관리,지인추천,78,44,11,7170000,0,170000,센터명 표기 확인 필요
2026-05,대전센터,고등 입시,설명회,32,21,6,3670000,0,60000,
2026-05,부산센터,초등 자기주도,홈페이지,87,58,24,18810000,0,280000,설명회 유입 포함
2026-05,부산센터,학부모 코칭,블로그,73,47,20,14050000,1,170000,
2026-05,부산센터,고등 입시,카카오채널,54,24,5,4030000,0,140000,
2026-05,부산센터,초등 자기주도,네이버광고,84,36,15,12930000,0,1520000,센터명 표기 확인 필요
2026-05,부산센터,학부모 코칭,지인추천,50,35,14,7670000,0,160000,
2026-05,부산센터,중등 내신,설명회,51,35,7,7000000,0,170000,
2026-06,강남센터,학부모 코칭,홈페이지,55,22,5,4680000,0,110000,
2026-06,강남센터,중등 내신,블로그,69,47,22,16370000,0,180000,설명회 유입 포함
2026-06,강남센터,AI 학습관리,카카오채널,81,36,19,14070000,0,120000,
2026-06,강남센터,고등 입시,네이버광고,41,17,8,5510000,0,650000,센터명 표기 확인 필요
2026-06,강남센터,초등 자기주도,지인추천,46,24,9,7310000,3,170000,
2026-06,강남센터,AI 학습관리,설명회,88,56,28,16700000,0,180000,
2026-06,분당센터,고등 입시,홈페이지,99,51,21,14450000,0,330000,
2026-06,분당센터,초등 자기주도,블로그,89,34,8,6120000,3,320000,
2026-06,분당센터,AI 학습관리,카카오채널,96,58,20,17970000,0,150000,
2026-06,분당센터,고등 입시,네이버광고,43,17,6,4460000,0,450000,
2026-06,분당센터,초등 자기주도,지인추천,94,37,18,14060000,0,240000,
2026-06,분당센터,학부모 코칭,설명회,67,29,8,7860000,0,110000,
2026-06,송파센터,중등 내신,홈페이지,54,24,8,6620000,3,140000,
2026-06,송파센터,초등 자기주도,블로그,75,38,11,10900000,0,250000,센터명 표기 확인 필요
2026-06,송파센터,학부모 코칭,카카오채널,98,68,16,14780000,0,300000,
2026-06,송파센터,중등 내신,네이버광고,98,58,13,11950000,0,910000,
2026-06,송파센터,AI 학습관리,지인추천,66,39,17,10690000,0,180000,설명회 유입 포함
2026-06,송파센터,고등 입시,설명회,94,64,26,23580000,0,250000,
2026-06,목동센터,초등 자기주도,홈페이지,47,25,5,3260000,2,170000,
2026-06,목동센터,AI 학습관리,블로그,99,46,18,11920000,0,160000,
2026-06,목동센터,고등 입시,카카오채널,76,49,25,21000000,0,190000,
2026-06,목동센터,초등 자기주도,네이버광고,73,37,13,8000000,1,830000,
2026-06,목동센터,AI 학습관리,지인추천,91,53,20,17740000,0,270000,
2026-06,목동센터,고등 입시,설명회,58,36,9,5620000,0,170000,
2026-06,대전센터,초등 자기주도,홈페이지,73,39,14,7490000,0,170000,
2026-06,대전센터,학부모 코칭,블로그,40,17,7,5990000,0,70000,센터명 표기 확인 필요
2026-06,대전센터,중등 내신,카카오채널,30,20,6,5380000,0,90000,
2026-06,대전센터,AI 학습관리,네이버광고,27,19,10,8980000,0,440000,
2026-06,대전센터,고등 입시,지인추천,78,31,8,7690000,0,160000,
2026-06,대전센터,초등 자기주도,설명회,100,59,20,9900000,2,180000,
2026-06,부산센터,AI 학습관리,홈페이지,41,23,7,5140000,0,90000,
2026-06,부산센터,고등 입시,블로그,103,48,12,10020000,0,180000,
2026-06,부산센터,초등 자기주도,카카오채널,72,37,15,9280000,0,270000,
2026-06,부산센터,학부모 코칭,네이버광고,53,21,9,6880000,0,540000,
2026-06,부산센터,중등 내신,지인추천,99,49,21,16810000,0,320000,센터명 표기 확인 필요
2026-06,부산센터,AI 학습관리,설명회,42,21,9,8830000,0,140000,
2026-07,강남센터,중등 내신,홈페이지,36,22,5,2960000,0,130000,설명회 유입 포함
2026-07,강남센터,AI 학습관리,블로그,64,43,11,10300000,0,140000,
2026-07,강남센터,고등 입시,카카오채널,28,11,3,2770000,0,80000,
2026-07,강남센터,초등 자기주도,네이버광고,90,57,28,17270000,0,1010000,
2026-07,강남센터,학부모 코칭,지인추천,98,53,27,16080000,1,260000,
2026-07,강남센터,고등 입시,설명회,76,50,23,20050000,0,130000,
2026-07,분당센터,초등 자기주도,홈페이지,97,66,27,24640000,0,140000,
2026-07,분당센터,학부모 코칭,블로그,27,17,6,3840000,0,50000,
2026-07,분당센터,중등 내신,카카오채널,73,48,25,20970000,0,170000,
2026-07,분당센터,AI 학습관리,네이버광고,70,47,19,14330000,0,1330000,
2026-07,분당센터,고등 입시,지인추천,85,34,13,10280000,0,190000,
2026-07,분당센터,초등 자기주도,설명회,26,10,3,2170000,0,70000,
2026-07,송파센터,학부모 코칭,홈페이지,35,23,10,7290000,0,80000,
2026-07,송파센터,중등 내신,블로그,95,42,18,11400000,0,190000,
2026-07,송파센터,AI 학습관리,카카오채널,27,14,6,4890000,1,40000,
2026-07,송파센터,학부모 코칭,네이버광고,83,56,14,11940000,0,790000,
2026-07,송파센터,중등 내신,지인추천,70,32,13,9780000,1,150000,
2026-07,송파센터,초등 자기주도,설명회,24,11,2,960000,0,50000,
2026-07,목동센터,학부모 코칭,홈페이지,86,36,10,8780000,0,320000,
2026-07,목동센터,중등 내신,블로그,79,53,27,26220000,1,130000,
2026-07,목동센터,초등 자기주도,카카오채널,78,39,13,12300000,0,270000,
2026-07,목동센터,학부모 코칭,네이버광고,45,19,9,4710000,0,670000,
2026-07,목동센터,중등 내신,지인추천,46,22,8,5100000,1,140000,
2026-07,목동센터,초등 자기주도,설명회,66,39,18,12520000,0,90000,
2026-07,대전센터,학부모 코칭,홈페이지,32,17,6,5170000,2,100000,
2026-07,대전센터,고등 입시,블로그,24,15,7,5580000,0,40000,
2026-07,대전센터,초등 자기주도,카카오채널,51,30,7,3610000,0,160000,
2026-07,대전센터,학부모 코칭,네이버광고,29,13,6,5350000,1,400000,센터명 표기 확인 필요
2026-07,대전센터,고등 입시,지인추천,30,12,6,4470000,0,60000,
2026-07,대전센터,초등 자기주도,설명회,78,44,17,13900000,0,230000,센터명 표기 확인 필요
2026-07,부산센터,학부모 코칭,홈페이지,39,27,8,5230000,0,140000,
2026-07,부산센터,중등 내신,블로그,52,26,5,4060000,0,110000,
2026-07,부산센터,AI 학습관리,카카오채널,71,36,13,12730000,0,110000,
2026-07,부산센터,고등 입시,네이버광고,30,12,3,1570000,1,450000,설명회 유입 포함
2026-07,부산센터,중등 내신,지인추천,70,39,8,5910000,0,90000,
2026-07,부산센터,AI 학습관리,설명회,79,42,21,12900000,0,230000,
