month,center,course,capacity,enrolled,attendance_rate,instructor_score,material_score,operation_memo
2026-04,대전센터,초등 자기주도,22,15,0.8317932975684381,4.3,3.9,교재 링크 안내 강화 필요
2026-05,대전센터,중등 내신,20,16,0.8368907719743583,3.9,4.9,
2026-06,대전센터,고등 입시,28,23,0.7635038289123987,4.9,4.5,교재 링크 안내 강화 필요
2026-07,대전센터,학부모 코칭,28,20,0.9458100718602418,4.5,4.8,
2026-02,대전센터,AI 학습관리,23,22,0.8804294150421084,4.8,3.5,
2026-03,부산센터,초등 자기주도,35,31,0.939749740239322,3.6,4,실습 질문 증가
2026-04,부산센터,중등 내신,31,30,0.7066571849537423,4,4.4,
2026-05,부산센터,고등 입시,35,23,0.7822344855534721,4.4,3.5,
2026-06,부산센터,학부모 코칭,19,14,0.8574672113649104,3.6,4,
2026-07,부산센터,AI 학습관리,24,20,0.7040976897605357,4.1,4.4,
2026-02,강남센터,초등 자기주도,29,19,0.7938545946271006,4.4,3.7,
2026-03,강남센터,중등 내신,19,15,0.8553012706287155,3.8,4.3,
2026-04,강남센터,고등 입시,25,21,0.732622562855305,4.3,4.1,
2026-05,강남센터,학부모 코칭,29,20,0.838350908820903,4.1,3.6,
2026-06,강남센터,AI 학습관리,21,17,0.798308855229716,3.7,4.3,교재 링크 안내 강화 필요
2026-07,분당센터,초등 자기주도,28,22,0.7111982873113414,4.3,4.9,
2026-02,분당센터,중등 내신,25,17,0.8436242487248546,4.9,4.4,
2026-03,분당센터,고등 입시,20,17,0.9475198837267271,4.4,4.1,
2026-04,분당센터,학부모 코칭,28,27,0.8593840870259556,4.2,4.3,
2026-05,분당센터,AI 학습관리,35,30,0.8131200431540038,4.4,4.1,
2026-06,송파센터,초등 자기주도,29,23,0.8476687347329972,4.1,4.6,교재 링크 안내 강화 필요
2026-07,송파센터,중등 내신,26,22,0.8047095881788755,4.6,4.8,
2026-02,송파센터,고등 입시,29,23,0.8993359173259251,4.8,4,교재 링크 안내 강화 필요
2026-03,송파센터,학부모 코칭,26,24,0.9318513247669035,4,4.9,
2026-04,송파센터,AI 학습관리,32,30,0.7847128347613671,4.9,3.7,실습 질문 증가
2026-05,목동센터,초등 자기주도,34,26,0.941302503003708,3.8,4.1,실습 질문 증가
2026-06,목동센터,중등 내신,24,23,0.7398945870823264,4.2,3.5,
2026-07,목동센터,고등 입시,35,24,0.8103390407875304,3.6,3.5,
2026-02,목동센터,학부모 코칭,21,17,0.6962144653332416,3.6,3.6,
2026-03,목동센터,AI 학습관리,26,17,0.6903533854421585,3.7,3.9,실습 질문 증가
2026-04,대전센터,초등 자기주도,19,12,0.7248257691789514,3.9,3.7,
2026-05,대전센터,중등 내신,18,12,0.762440813541889,3.7,3.4,
2026-06,대전센터,고등 입시,20,15,0.7255760931401528,3.5,3.6,
2026-07,대전센터,학부모 코칭,23,16,0.6840179171209638,3.7,3.7,
2026-02,대전센터,AI 학습관리,21,13,0.7134086394099678,3.8,4.1,
2026-03,부산센터,초등 자기주도,18,12,0.7304611922048753,4.2,4.3,
2026-04,부산센터,중등 내신,20,14,0.8053595589488942,4.4,3.6,
2026-05,부산센터,고등 입시,21,16,0.847479281500846,3.7,4.4,
2026-06,부산센터,학부모 코칭,26,22,0.7104704141807361,4.5,4.6,
2026-07,부산센터,AI 학습관리,29,19,0.8683268961952855,4.6,3.7,
2026-02,강남센터,초등 자기주도,20,17,0.8902454925924121,3.8,4.5,
2026-03,강남센터,중등 내신,30,27,0.7419445368762354,4.5,4.4,
2026-04,강남센터,고등 입시,32,22,0.8728105708811018,4.4,3.8,
2026-05,강남센터,학부모 코칭,22,19,0.8544965284970796,3.9,3.9,
2026-06,강남센터,AI 학습관리,30,25,0.7553956924211889,4,3.8,실습 질문 증가
2026-07,분당센터,초등 자기주도,29,21,0.7704772431207676,3.9,4.5,
2026-02,분당센터,중등 내신,23,17,0.7592936105243008,4.5,3.4,실습 질문 증가
2026-03,분당센터,고등 입시,24,17,0.8709770204705001,3.5,4.3,
2026-04,분당센터,학부모 코칭,23,20,0.6888409393203256,4.3,3.5,
2026-05,분당센터,AI 학습관리,30,19,0.842236833572024,3.6,3.9,
2026-06,송파센터,초등 자기주도,18,15,0.694255195226283,3.9,4.2,
2026-07,송파센터,중등 내신,28,18,0.76364704690699,4.3,3.6,
2026-02,송파센터,고등 입시,18,13,0.8327802127561064,3.7,4.2,
2026-03,송파센터,학부모 코칭,23,19,0.7164138899600448,4.2,4.4,
2026-04,송파센터,AI 학습관리,28,19,0.8168919501719575,4.5,4.3,
2026-05,목동센터,초등 자기주도,20,16,0.8672005435385837,4.4,4.5,
2026-06,목동센터,중등 내신,27,23,0.8455396286007977,4.5,3.9,
2026-07,목동센터,고등 입시,30,25,0.8763759430223945,3.9,4.4,
2026-02,목동센터,학부모 코칭,29,25,0.7666059774563656,4.5,4.2,
2026-03,목동센터,AI 학습관리,31,23,0.8687908165300963,4.3,4.7,
2026-04,대전센터,초등 자기주도,23,20,0.8259534900549808,4.7,4.3,
2026-05,대전센터,중등 내신,30,24,0.9177362390890267,4.4,4.3,
2026-06,대전센터,고등 입시,27,25,0.8455493014803779,4.3,4.5,
2026-07,대전센터,학부모 코칭,33,28,0.8429123405271003,4.5,4.2,
2026-02,대전센터,AI 학습관리,29,24,0.8732915681146916,4.2,3.6,
2026-03,부산센터,초등 자기주도,28,24,0.8196087591379502,3.7,4.3,
2026-04,부산센터,중등 내신,30,24,0.7225118948135878,4.4,4.4,교재 링크 안내 강화 필요
2026-05,부산센터,고등 입시,27,18,0.8462561135840588,4.4,4.9,
2026-06,부산센터,학부모 코칭,20,17,0.8561200901328812,4.9,4.1,
2026-07,부산센터,AI 학습관리,29,25,0.9489944773200296,4.2,4.6,
2026-02,강남센터,초등 자기주도,29,28,0.8134963134676036,4.6,4.2,
2026-03,강남센터,중등 내신,35,28,0.8910224894092154,4.3,4.3,
2026-04,강남센터,고등 입시,26,23,0.8301804595882459,4.3,3.6,
2026-05,강남센터,학부모 코칭,32,26,0.8353696608797145,3.7,4.3,
2026-06,강남센터,AI 학습관리,28,23,0.7210418570153252,4.3,4.2,
2026-07,분당센터,초등 자기주도,28,19,0.8411667339015094,4.3,3.7,
2026-02,분당센터,중등 내신,20,17,0.8293901837058184,3.8,4.3,
2026-03,분당센터,고등 입시,28,23,0.73991602649352,4.3,4.4,
2026-04,분당센터,학부모 코칭,27,19,0.8386655366805201,4.4,3.7,교재 링크 안내 강화 필요
2026-05,분당센터,AI 학습관리,21,17,0.8602474133824944,3.8,4.8,
2026-06,송파센터,초등 자기주도,28,24,0.7366995998328094,4.8,4.1,
2026-07,송파센터,중등 내신,30,21,0.93185970734428,4.1,3.8,실습 질문 증가
2026-02,송파센터,고등 입시,21,20,0.7982178557267889,3.9,3.6,실습 질문 증가
2026-03,송파센터,학부모 코칭,34,26,0.7536260176308134,3.7,3.4,실습 질문 증가
2026-04,송파센터,AI 학습관리,25,18,0.7213994435026349,3.5,3.5,
2026-05,목동센터,초등 자기주도,22,15,0.6809942554911322,3.6,3.5,
2026-06,목동센터,중등 내신,20,12,0.7044358657501472,3.6,4.7,
2026-07,목동센터,고등 입시,18,12,0.694733765435035,4.7,3.7,
2026-02,목동센터,학부모 코칭,19,12,0.9184313209834455,3.8,4.6,교재 링크 안내 강화 필요
2026-03,목동센터,AI 학습관리,18,17,0.737799489484678,4.6,4.8,
2026-04,대전센터,초등 자기주도,33,23,0.8873949282134073,4.8,3.7,
2026-05,대전센터,중등 내신,21,19,0.9271478951032806,3.8,4,
2026-06,대전센터,고등 입시,31,29,0.7329778837991217,4,3.6,
2026-07,대전센터,학부모 코칭,34,23,0.7813929963788724,3.7,3.9,
2026-02,대전센터,AI 학습관리,21,16,0.7122260605433304,3.9,4.4,
2026-03,부산센터,초등 자기주도,24,16,0.7629748311871482,4.4,4.1,
2026-04,부산센터,중등 내신,20,15,0.8623693671243928,4.2,4.4,
2026-05,부산센터,고등 입시,23,20,0.8129924187845836,4.4,3.8,
2026-06,부산센터,학부모 코칭,30,24,0.8549441684791419,3.8,3.8,
2026-07,부산센터,AI 학습관리,26,22,0.7457728822622085,3.9,4.3,교재 링크 안내 강화 필요
2026-02,강남센터,초등 자기주도,29,20,0.7558416412964255,4.4,4.8,
2026-03,강남센터,중등 내신,22,16,0.8505443958463184,4.8,4.1,교재 링크 안내 강화 필요
2026-04,강남센터,고등 입시,23,19,0.933804171912525,4.2,4.8,
2026-05,강남센터,학부모 코칭,29,28,0.808699833394885,4.8,4.7,교재 링크 안내 강화 필요
2026-06,강남센터,AI 학습관리,34,27,0.9359150969763232,4.7,4.8,교재 링크 안내 강화 필요
2026-07,분당센터,초등 자기주도,26,25,0.9082664941627627,4.8,4.8,
2026-02,분당센터,중등 내신,35,32,0.9307437085486094,4.8,4.7,
2026-03,분당센터,고등 입시,33,31,0.9376388952550315,4.7,4.3,
2026-04,분당센터,학부모 코칭,34,32,0.913579957176935,4.4,4.3,
2026-05,분당센터,AI 학습관리,35,32,0.8507110753513325,4.3,3.7,
2026-06,송파센터,초등 자기주도,33,28,0.8402947552756541,3.7,4.1,
2026-07,송파센터,중등 내신,29,24,0.7275215780326107,4.1,4.2,
2026-02,송파센터,고등 입시,28,19,0.8018202202802514,4.3,4.7,교재 링크 안내 강화 필요
2026-03,송파센터,학부모 코칭,21,16,0.8322228315917073,4.8,4.8,교재 링크 안내 강화 필요
2026-04,송파센터,AI 학습관리,26,21,0.9218356936007331,4.8,4.8,
2026-05,목동센터,초등 자기주도,28,26,0.9289969624224159,4.8,3.5,교재 링크 안내 강화 필요
2026-06,목동센터,중등 내신,34,32,0.926783774428518,3.6,4.8,
2026-07,목동센터,고등 입시,34,32,0.6909573830744375,4.8,4.3,
2026-02,목동센터,학부모 코칭,34,22,0.9383363045260649,4.3,4.7,교재 링크 안내 강화 필요
2026-03,목동센터,AI 학습관리,18,17,0.8429297670172673,4.7,4.8,
2026-04,대전센터,초등 자기주도,35,29,0.9207227088776382,4.8,4.6,
2026-05,대전센터,중등 내신,28,26,0.9245791214900602,4.6,4,실습 질문 증가
2026-06,대전센터,고등 입시,34,32,0.8890745269778972,4,3.7,
2026-07,대전센터,학부모 코칭,34,30,0.7803876554822455,3.8,3.5,
2026-02,대전센터,AI 학습관리,31,23,0.742816645528983,3.6,3.9,
2026-03,부산센터,초등 자기주도,24,17,0.7014007530109172,3.9,4.5,
2026-04,부산센터,중등 내신,22,14,0.7627346514540477,4.6,3.6,
2026-05,부산센터,고등 입시,19,14,0.8858906505709456,3.7,4.2,
2026-06,부산센터,학부모 코칭,23,20,0.7161826012403458,4.2,4,
2026-07,부산센터,AI 학습관리,31,21,0.8198969381138977,4.1,4,
